BNIP3,hsa-mir-145-5p
KLF5,hsa-mir-145-5p
SOX2,hsa-mir-145-5p
KLF4,hsa-mir-145-5p
MUC1,hsa-mir-145-5p
MYO6,hsa-mir-145-5p
CDKN1A,hsa-mir-145-5p
STAT1,hsa-mir-145-5p
YES1,hsa-mir-145-5p
CBFB,hsa-mir-145-5p
PPP3CA,hsa-mir-145-5p
CLINT1,hsa-mir-145-5p
IRS1,hsa-mir-145-5p
PARP8,hsa-mir-145-5p
EGFR,hsa-mir-145-5p
FSCN1,hsa-mir-145-5p
MYC,hsa-mir-145-5p
FLI1,hsa-mir-145-5p
DFFA,hsa-mir-145-5p
IFNB1,hsa-mir-145-5p
TIRAP,hsa-mir-145-5p
POU5F1,hsa-mir-145-5p
IGF1R,hsa-mir-145-5p
ROBO2,hsa-mir-145-5p
SRGAP1,hsa-mir-145-5p
EIF4E,hsa-mir-145-5p
CDK4,hsa-mir-145-5p
VEGFA,hsa-mir-145-5p
SERPINE1,hsa-mir-145-5p
IRS2,hsa-mir-145-5p
ITGB8,hsa-mir-145-5p
SWAP70,hsa-mir-145-5p
ESR1,hsa-mir-145-5p
NUDT1,hsa-mir-145-5p
NEDD9,hsa-mir-145-5p
PAK4,hsa-mir-145-5p
DDX17,hsa-mir-145-5p
ERG,hsa-mir-145-5p
NRAS,hsa-mir-145-5p
ILK,hsa-mir-145-5p
CTGF,hsa-mir-145-5p
SOCS7,hsa-mir-145-5p
MDM2,hsa-mir-145-5p
ADAM17,hsa-mir-145-5p
CDH2,hsa-mir-145-5p
HDAC2,hsa-mir-145-5p
RTKN,hsa-mir-145-5p
F11R,hsa-mir-145-5p
ARL6IP5,hsa-mir-145-5p
AKR1B10,hsa-mir-145-5p
C11orf65,hsa-mir-145-5p
HLTF,hsa-mir-145-5p
GMFB,hsa-mir-145-5p
SERINC5,hsa-mir-145-5p
MEST,hsa-mir-145-5p
ALPPL2,hsa-mir-145-5p
NDRG2,hsa-mir-145-5p
DTD1,hsa-mir-145-5p
TPM3,hsa-mir-145-5p
MAP2K6,hsa-mir-145-5p
CEP19,hsa-mir-145-5p
TPRG1,hsa-mir-145-5p
GOLM1,hsa-mir-145-5p
CCDC43,hsa-mir-145-5p
MMP1,hsa-mir-145-5p
PTP4A2,hsa-mir-145-5p
TMEM9B,hsa-mir-145-5p
MMP12,hsa-mir-145-5p
MTMR14,hsa-mir-145-5p
ALDH3A1,hsa-mir-145-5p
NDUFA4,hsa-mir-145-5p
FAM3C,hsa-mir-145-5p
LYPLA2,hsa-mir-145-5p
FAM45A,hsa-mir-145-5p
PIGF,hsa-mir-145-5p
AP1G1,hsa-mir-145-5p
JADE1,hsa-mir-145-5p
NIPSNAP1,hsa-mir-145-5p
KREMEN1,hsa-mir-145-5p
MMP14,hsa-mir-145-5p
ABRACL,hsa-mir-145-5p
MIXL1,hsa-mir-145-5p
TSPAN6,hsa-mir-145-5p
PODXL,hsa-mir-145-5p
APH1A,hsa-mir-145-5p
ABHD17C,hsa-mir-145-5p
NANOG,hsa-mir-145-5p
MYO5A,hsa-mir-145-5p
EPAS1,hsa-mir-145-5p
ETS1,hsa-mir-145-5p
RREB1,hsa-mir-145-5p
COL5A1,hsa-mir-145-5p
CD44,hsa-mir-145-5p
BRAF,hsa-mir-145-5p
SOX9,hsa-mir-145-5p
SMAD3,hsa-mir-145-5p
TGFBR2,hsa-mir-145-5p
CTNND1,hsa-mir-145-5p
SP1,hsa-mir-145-5p
TNFSF13,hsa-mir-145-5p
CDK6,hsa-mir-145-5p
DDX6,hsa-mir-145-5p
ARF6,hsa-mir-145-5p
ADD3,hsa-mir-145-5p
HMGA2,hsa-mir-145-5p
DDC,hsa-mir-145-5p
ANGPT2,hsa-mir-145-5p
ROCK1,hsa-mir-145-5p
E2F3,hsa-mir-145-5p
RPS6KB1,hsa-mir-145-5p
CD28,hsa-mir-145-5p
NFATC1,hsa-mir-145-5p
SP7,hsa-mir-145-5p
HDAC11,hsa-mir-145-5p
CFTR,hsa-mir-145-5p
ABCC1,hsa-mir-145-5p
SPTBN1,hsa-mir-145-5p
SENP1,hsa-mir-145-5p
NAIP,hsa-mir-145-5p
SET,hsa-mir-145-5p
RPA1,hsa-mir-145-5p
MCM2,hsa-mir-145-5p
SPTLC1,hsa-mir-145-5p
