BMI1,g0,6
WNT3A,g1,6
MYB,g2,6
CDC25A,g3,6
CCND2,g4,6
BCL2,g5,6
CCND1,g6,6
CCNE1,g7,6
DMTF1,g8,6
BRCA1,g9,6
AKT3,g10,6
CADM1,g11,6
UCP2,g12,6
VEGFA,g13,6
TSPYL2,g14,6
CHUK,g15,6
TP53,g16,6
FGF7,g17,6
CLCN3,g18,6
CRKL,g19,6
MN1,g20,6
HMGA1,g21,6
HMGA2,g22,6
IFNG,g23,6
PURA,g24,6
RECK,g25,6
FOXO1,g26,6
REPIN1,g27,6
KLF4,g28,6
YAP1,g29,6
CARM1,g30,6
SOX5,g31,6
HSPA1B,g32,6
WEE1,g33,6
CHEK1,g34,6
PHLPP1,g35,6
RET,g36,6
CXCL10,g37,6
CDKN2B,g38,6
BDNF,g39,6
IL10RA,g40,6
TNFAIP1,g41,6
ACVR2A,g42,6
CDK6,g43,6
CCND3,g44,6
PTGS2,g45,6
FGF2,g46,6
ARL2,g47,6
ARHGDIA,g48,6
TPPP3,g49,6
CAPRIN1,g50,6
PPM1D,g51,6
ZYX,g52,6
NCOR2,g53,6
AXIN2,g54,6
KDR,g55,6
FGFR1,g56,6
PIM1,g57,6
UNG,g58,6
RPS6KB1,g59,6
MTOR,g60,6
PRDM4,g61,6
MAP7,g62,6
APP,g63,6
CDS2,g64,6
SOX6,g65,6
IGF1R,g66,6
RAF1,g67,6
KRAS,g68,6
SLC6A4,g69,6
BIRC5,g70,6
RICTOR,g71,6
HDGF,g72,6
WNT4,g73,6
BACE1,g74,6
NCSTN,g75,6
OPRM1,g76,6
IL12B,g77,6
ADORA2A,g78,6
SOCS3,g79,6
HGF,g80,6
METTL13,g81,6
UCA1,g82,6
GLS2,g83,6
CLDN2,g84,6
COX2,g85,6
ERBB3,g86,6
BNIP3,g87,6
KLF5,g88,6
SOX2,g89,6
MUC1,g90,6
MYO6,g91,6
CDKN1A,g92,6
STAT1,g93,6
YES1,g94,6
CBFB,g95,6
PPP3CA,g96,6
CLINT1,g97,6
IRS1,g98,6
PARP8,g99,6
EGFR,g100,6
FSCN1,g101,6
MYC,g102,6
FLI1,g103,6
DFFA,g104,6
IFNB1,g105,6
TIRAP,g106,6
POU5F1,g107,6
ROBO2,g108,6
SRGAP1,g109,6
EIF4E,g110,6
CDK4,g111,6
SERPINE1,g112,6
IRS2,g113,6
ITGB8,g114,6
SWAP70,g115,6
ESR1,g116,6
NUDT1,g117,6
NEDD9,g118,6
PAK4,g119,6
DDX17,g120,6
ERG,g121,6
NRAS,g122,6
ILK,g123,6
CTGF,g124,6
SOCS7,g125,6
MDM2,g126,6
ADAM17,g127,6
CDH2,g128,6
HDAC2,g129,6
RTKN,g130,6
F11R,g131,6
ARL6IP5,g132,6
AKR1B10,g133,6
C11orf65,g134,6
HLTF,g135,6
GMFB,g136,6
SERINC5,g137,6
MEST,g138,6
ALPPL2,g139,6
NDRG2,g140,6
DTD1,g141,6
TPM3,g142,6
MAP2K6,g143,6
CEP19,g144,6
TPRG1,g145,6
GOLM1,g146,6
CCDC43,g147,6
MMP1,g148,6
PTP4A2,g149,6
TMEM9B,g150,6
MMP12,g151,6
MTMR14,g152,6
ALDH3A1,g153,6
NDUFA4,g154,6
FAM3C,g155,6
LYPLA2,g156,6
FAM45A,g157,6
PIGF,g158,6
AP1G1,g159,6
JADE1,g160,6
NIPSNAP1,g161,6
KREMEN1,g162,6
MMP14,g163,6
ABRACL,g164,6
MIXL1,g165,6
TSPAN6,g166,6
PODXL,g167,6
APH1A,g168,6
ABHD17C,g169,6
NANOG,g170,6
MYO5A,g171,6
EPAS1,g172,6
ETS1,g173,6
RREB1,g174,6
COL5A1,g175,6
CD44,g176,6
BRAF,g177,6
SOX9,g178,6
SMAD3,g179,6
TGFBR2,g180,6
CTNND1,g181,6
SP1,g182,6
TNFSF13,g183,6
DDX6,g184,6
ARF6,g185,6
ADD3,g186,6
DDC,g187,6
ANGPT2,g188,6
ROCK1,g189,6
E2F3,g190,6
CD28,g191,6
NFATC1,g192,6
SP7,g193,6
HDAC11,g194,6
CFTR,g195,6
ABCC1,g196,6
SPTBN1,g197,6
SENP1,g198,6
NAIP,g199,6
SET,g200,6
RPA1,g201,6
MCM2,g202,6
SPTLC1,g203,6
MYOCD,g204,6
MTDH,g205,6
TUG1,g206,6
CAMK1D,g207,6
FXN,g208,6
CRNDE,g209,6
PXN,g210,6
MSH3,g211,6
CD40,g212,6
